customer_id,first_name,last_name,email,age,gender,country,join_date,total_purchases,total_spent,loyalty_tier,email_subscribed,last_purchase_date,customer_lifetime_value
CUST-00001,Charlie,Smith,user0@example.com,20,F,Germany,2023-01-15 21:29:17.842626,80,33627.05,Gold,True,2025-11-18 21:29:17.856194,1689.6
CUST-00002,Charlie,Smith,user1@example.com,55,Other,USA,2025-01-16 21:29:17.842647,45,42932.07,Bronze,True,2025-09-13 21:29:17.856204,70989.1
CUST-00003,Charlie,Garcia,user2@example.com,23,F,USA,2023-04-22 21:29:17.842655,76,46969.49,Bronze,True,2025-08-02 21:29:17.856211,6776.41
CUST-00004,John,Smith,user3@example.com,21,F,Australia,2023-12-30 21:29:17.842659,91,36176.79,Bronze,False,2025-11-14 21:29:17.856215,50395.15
CUST-00005,Eve,Johnson,user4@example.com,61,Other,France,2025-01-24 21:29:17.842664,28,43624.49,Bronze,True,2025-08-02 21:29:17.856220,62654.0
CUST-00006,Eve,Brown,user5@example.com,54,F,France,2021-02-11 21:29:17.842668,76,29805.29,Silver,True,2025-07-23 21:29:17.856224,60949.41
CUST-00007,Charlie,Garcia,user6@example.com,53,F,UK,2023-06-08 21:29:17.842672,99,21140.25,Silver,False,2025-10-18 21:29:17.856229,90269.59
CUST-00008,Alice,Johnson,user7@example.com,65,F,UK,2025-03-11 21:29:17.842676,61,7445.02,Silver,False,2025-08-17 21:29:17.856233,22675.63
CUST-00009,John,Smith,user8@example.com,61,M,France,2021-05-02 21:29:17.842680,47,521.66,Gold,True,2025-12-02 21:29:17.856238,19348.5
CUST-00010,Charlie,Miller,user9@example.com,32,Other,USA,2021-02-01 21:29:17.842685,90,12448.91,Gold,False,2025-08-11 21:29:17.856242,67524.13
CUST-00011,John,Johnson,user10@example.com,21,Other,USA,2021-07-19 21:29:17.842689,94,18495.14,Bronze,True,2025-08-03 21:29:17.856247,46648.03
CUST-00012,Bob,Smith,user11@example.com,37,M,Australia,2022-07-19 21:29:17.842693,99,16138.3,Bronze,True,2025-11-19 21:29:17.856251,76162.85
CUST-00013,John,Smith,user12@example.com,63,Other,France,2021-04-19 21:29:17.842697,62,44920.86,Bronze,True,2025-08-14 21:29:17.856256,45980.38
CUST-00014,Diana,Jones,user13@example.com,62,Other,France,2023-02-20 21:29:17.842701,48,11721.24,Bronze,True,2025-07-25 21:29:17.856260,58781.86
CUST-00015,Charlie,Brown,user14@example.com,18,F,Canada,2023-06-14 21:29:17.842705,2,36640.03,Bronze,True,2025-12-03 21:29:17.856264,2808.94
CUST-00016,Eve,Johnson,user15@example.com,70,M,UK,2025-09-21 21:29:17.842709,34,9664.44,Gold,True,2026-01-01 21:29:17.856268,74548.72
CUST-00017,Frank,Johnson,user16@example.com,67,M,Germany,2021-09-26 21:29:17.842714,48,44429.07,Bronze,False,2025-11-08 21:29:17.856273,95103.0
CUST-00018,Diana,Jones,user17@example.com,20,Other,France,2021-08-15 21:29:17.842718,54,9134.93,Silver,True,2025-09-09 21:29:17.856277,12829.16
CUST-00019,Charlie,Miller,user18@example.com,22,Other,UK,2022-01-27 21:29:17.842722,78,48336.52,Gold,True,2025-07-26 21:29:17.856281,20244.68
